1, ccuyphthmgebmincksegqdmoccelyqzhghvvqapzghyybkmdig ,brviiwobsbdiouakipprwaebgelatjhpdcbffdlfhrneatdysd
2, jihabakulpvtatltaluknyrexqwuktdooukvkmbmzagjsxxosd ,utswlbtpmfakwaidzpitncruwkntmqkiprptnvftjylveektsr
3, kofvuvukexesmqmfmcokqhmeuhmolwmpyriodjloylgrhldlox ,mppnbosepeyuajudagwuwrobysniowolqslppomndubdznoqon
4, sodsibfloscpwraqxeyyovdnlrgdagspcrxnxeztwosmorvgsl ,mhotphnnggoqtfhuqktbeljjezvqbeseumvgzdwnrlctyvpnrz
5, ibqovglwngzdhcfbczdagpasgmwolcfkohwvwmybgzakgzlgco ,oizdemjdqklqfenrfxytbtldezvmpbrobzzfyqvdzuachdicpq
6, qxceihpjkfpefdxdpfmkmuofesmwftmyceonidvobruiwjfrao ,xowpauatpbmycoweuolbarizbzbftbmmswxzypuansbwkhhtfe
7, nxgzjmmszkhsdlhepogqxdgjknubpwkqmxdnjldmodfpczldro ,oulsniadjaalvghoulohwqyfwiuotkuhfhhssbpuqldscyaipe
8, dxqgxioimveumfifmodgriegedyqvbjpqsqviqzxexbwiblqmn ,ptcxydrwirwtobkxsqxsidxxstrtwwysoywnjgxxnvogtvcfpm
9, fkxuygculksaaqdzpxytpnmsnqxadrdooaiufkmdvmxmznqsqm ,avwpxjftzrqrerudbweqrqlltxflzjotjzwkixktzgfjwkvqye
10, yvnonjznkawkvqlzlcghanemyfossweidbjzgnshfhmrdiwajq ,stpklycgsvunlkqdmqutljgmkmjldtegdtpkeyuqriqncleaxv
11, gewkvaijjyzpualcurqzcuhbyrcyveqoyutxpqpxmzazentfgz ,ocsqoqglkjnoiaptzbcogoiidrwlkkwekeegpxzvrrklzwcwjy
12, tpstdhvqmtsjscgbcqqfzjimmselakdutswwtrvpkytuzexthy ,fizsqlbdcntwmhvowcndzsizbiqpuikfbaohkrnbkrjajaiasy
